model,day,date,time,flight,destination,airline,aircraft,status
CasablancaAPI.Depatures,Sunday,2022-05-01,1:50 PM,QR1398,Doha (DOH),Qatar Airways ,B77W (A7-BAT) ,Departed 2:31 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,2:05 PM,AT716,Nantes (NTE),Royal Air Maroc ,E190 (CN-RGQ) ,Departed 2:02 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,2:10 PM,AT720,Lyon (LYS),Royal Air Maroc ,B738 (CN-RNU) ,Departed 2:15 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,2:15 PM,3O544,Geneva (GVA),Air Arabia ,A320 (CN-NMN) ,Departed 2:28 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,2:35 PM,AF1597,Paris (CDG),Air France ,A321 (F-GTAZ) ,Departed 3:05 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,2:35 PM,AT1436,Tetuan (TTU),Royal Air Maroc Express ,AT76 (CN-COJ) ,Departed 2:34 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,2:45 PM,AT970,Madrid (MAD),Royal Air Maroc ,B738 (CN-RGK) ,Departed 2:56 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,2:50 PM,AT200,New York (JFK),Royal Air Maroc ,B789 (CN-RGY) ,Departed 3:11 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,2:55 PM,AT960,Barcelona (BCN),Royal Air Maroc ,E190 (CN-RGO) ,Departed 3:08 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,3:00 PM,AT982,Lisbon (LIS),Royal Air Maroc Express ,AT76 (CN-COE) ,Departed 2:58 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,3:00 PM,,London (BQH),-,H25B (CN-TMB) ,Departed 3:02 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,3:05 PM,AT218,Washington (IAD),Royal Air Maroc ,B788 (CN-RGC) ,Departed 3:16 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,3:10 PM,AT425,Agadir (AGA),Royal Air Maroc ,B738 (CN-ROS) ,Departed 3:34 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,3:10 PM,AT1422,Dakhla (VIL),Royal Air Maroc ,B738 (CN-ROC) ,Departed 3:25 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,3:20 PM,AT750,Paris (ORY),Royal Air Maroc ,B738 (CN-ROE) ,Departed 3:20 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,3:30 PM,,London (BQH),-,H25B (CN-TMB) ,Canceled 
CasablancaAPI.Depatures,Sunday,2022-05-01,3:30 PM,AT204,Miami (MIA),Royal Air Maroc ,B788 (CN-RGU) ,Departed 3:42 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,3:40 PM,AT1402,Oujda (OUD),Royal Air Maroc Express ,AT76 (CN-COI) ,Departed 3:53 PM
CasablancaAPI.Depatures,Sunday,2022-05-01,3:45 PM,TK618,Istanbul (IST),Turkish Airlines ,B77W (TC-JJL) ,Departed 4:12 PM
